ville,avg_actual,avg_pred,avg_gap,avg_gap_pct,count
Carthage,5449.557427258806,3270.371875137868,2179.1855521209386,-15.242697117558027,1306
Hammamet,131001.47960108794,121768.05868150387,9233.420919584067,-15.023771757395794,1103
Marsa,2442.390566037736,2249.9792904567053,192.4112755810305,-4.109262186262859,530
La Marsa,50362.30687830688,51357.7817339213,-995.4748556144282,-7.364082482908502,378
La Soukra,47805.921195652176,47189.39025136939,616.5309442827827,-1.0985767901165813,368
Hammamet Nord,1651.0369127516778,1510.4937311715253,140.54318158015244,-17.1982974822016,298
Ain Zaghouan,36358.14345991561,32394.13673732358,3964.0067225920316,-0.7385200307540787,237
Soukra,1276.5876288659795,1156.9561381775,119.63149068847939,-4.639102084140238,194
L'Aouina,1175.7015706806283,1124.9100231884006,50.79154749222773,-1.3140403412087012,191
Gammarth,3981.4814814814813,3821.0153007798262,160.4661807016549,-5.438423588004108,189
Ain Zaghouen Nord,1952.896174863388,1753.8742670138402,199.0219078495477,2.152544520352111,183
Ariana Ville,163139.87078651684,141886.5818759763,21253.288910540577,2.445369208659238,178
Cité El Wafa Mrezga,1149.8486842105262,1124.1687256946727,25.679958515853542,-23.436831829875977,152
Kelibia,66673.06428571428,46049.409187734615,20623.655097979678,-21.42207277072638,140
Laouina,1308.5294117647059,1248.924973882431,59.6044378822747,-4.956456884222188,136
El Mourouj,52931.704545454544,51445.12753532993,1486.5770101246198,-7.676975137139007,132
Kantaoui,1359.5384615384614,1330.1209720689997,29.41748946946202,-21.292171238558225,130
Nabeul,207337.31707317074,176592.92635946974,30744.390713700992,-16.67201171985087,123
Hammam Sousse,88101.16666666667,63148.74526450147,24952.421402165193,-10.58854145432947,120
Sahloul,1047.1818181818182,1024.0159272945573,23.165890887260925,-5.366768367361081,110
Sousse,946.2385321100918,930.4492036723085,15.789328437783293,-21.685263317562672,109
Khzema,1219.5698924731182,1166.73120460351,52.838687869608506,-7.722930742369843,93
Bab Bhar,65752.54838709677,69672.33209403118,-3919.783706934411,-0.10552158511556148,93
Yasmine,2457.391304347826,2322.665385853801,134.7259184940252,-10.473269337266878,92
El Menzah,139945.81318681317,135678.76204700183,4267.051139811356,-14.60438647607539,91
Menzah,1345.6097560975609,1252.4060923839456,93.20366371361537,0.25920105122099396,82
Ezzahra,53683.67123287671,46794.32197843825,6889.349254438463,-8.138364175683755,73
Makni,1887.6712328767123,1716.7983995452123,170.87283333150012,-4.6297562610089305,73
EL Manzah,1179.986111111111,1210.6523341191944,-30.666223008083346,-7.293207927777098,72
Chotrana,1651.9444444444443,1476.0692473512217,175.87519709322262,2.191336970439686,72
Sidi Bou Saïd,3071.830985915493,2641.738955292163,430.09203062332955,2.9980715251912806,71
Riadh El Andalous,1197.6760563380283,1204.9901456052114,-7.314089267183213,-3.439255365412127,71
Rades,63333.80281690141,59368.13266405684,3965.670152844572,-8.610135657326705,71
