surface_bin,avg_gap_pct,count
<50,-9.192078407081775,307
50-100,-8.867033395385644,2337
100-150,-6.056874865477652,1618
150-200,-12.854225701110643,767
200-500,-12.775776341315265,1412
500+,-12.098368206398845,639
