,surface,pieces,etage,prix,has_ascenseur,has_balcon,has_chaffage,has_climatisation,has_garage,has_gardien,has_jardin,has_parking,has_piscine,has_terrasse,gouvernerat,ville,type,contrat,latitude,longitude,price_per_m2,surface_per_piece,etage_x_ascenseur,nlp_transaction_negociable,nlp_transaction_urgent,nlp_transaction_first_owner_or_new_mentioned,nlp_transaction_developer_or_promoter_mentioned,nlp_transaction_legal_title_or_status_mentioned,nlp_transaction_legal_title_hint,nlp_property_subtype,nlp_property_furnished,nlp_property_semi_furnished,nlp_property_condition,nlp_property_orientation_mentioned,nlp_property_duplex_penthouse_garden_level_mentioned,nlp_comfort_air_conditioning,nlp_comfort_heating_mentioned,nlp_comfort_double_glazing_mentioned,nlp_comfort_finishing_quality_hint,nlp_location_neighborhood_or_zone,nlp_location_proximity_count,nlp_location_proximity_str,nlp_location_nuisance_or_negative_mentioned,nlp_usage_primary_residence_likely,nlp_usage_investment_likely,nlp_usage_furnished_rental_likely,nlp_standing_luxury_level,nlp_standing_features_count,nlp_standing_features_str,nlp_signals_listing_too_vague,nlp_signals_incoherence_price_vs_surface_hint,nlp_signals_spam_or_low_quality_hint,nlp_signals_extraction_confidence,vis_pool_likely_mean,vis_pool_likely_max,vis_garden_likely_mean,vis_garden_likely_max,vis_sea_view_likely_mean,vis_sea_view_likely_max,vis_furnished_likely_mean,vis_furnished_likely_max,vis_modern_renovation_likely_mean,vis_modern_renovation_likely_max,vis_luxury_visual_score_mean,vis_luxury_visual_score_max,vis_n_images,bge_pca_0,bge_pca_1,bge_pca_2,bge_pca_3,bge_pca_4,bge_pca_5,bge_pca_6,bge_pca_7,bge_pca_8,bge_pca_9,bge_pca_10,bge_pca_11,bge_pca_12,bge_pca_13,bge_pca_14,bge_pca_15,bge_pca_16,bge_pca_17,bge_pca_18,bge_pca_19,bge_pca_20,bge_pca_21,bge_pca_22,bge_pca_23,bge_pca_24,bge_pca_25,bge_pca_26,bge_pca_27,bge_pca_28,bge_pca_29,bge_pca_30,bge_pca_31
22,114.0,3.0,1.0,365000.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,3201.754385964912,38.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,100.0,2.0,0.0,370000.0,,,,,,,,,,,Ben Arous,Ben Arous,Appartement,vente,36.7516855,10.2245072,3700.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,110.0,2.0,1.0,250000.0,,1.0,,,,,,1.0,,,Ben Arous,Ben Arous,Appartement,vente,36.7516855,10.2245072,2272.7272727272725,55.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,90.0,2.0,,149000.0,,1.0,,,,,,1.0,,,Ben Arous,Ben Arous,Appartement,vente,36.7516855,10.2245072,1655.5555555555557,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,65.0,2.0,,170000.0,,,,,,,,1.0,,,Ariana,Ariana,Appartement,vente,36.8587351,10.188232,2615.3846153846152,32.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,160.0,3.0,,320000.0,1.0,,1.0,1.0,,,,,,1.0,Sousse,Sousse,Appartement,vente,35.8288284,10.6405254,2000.0,53.333333333333336,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,140.0,2.0,1.0,180000.0,,,,,,,,,,,,"Étage Situé Dans Une Résidence À Centre Ville, Tunis",Appartement,vente,,,1285.7142857142858,70.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,95.0,2.0,,247000.0,1.0,1.0,,,,,,,,,,"Éme Étage Situé Dans Une Résidence Avec Ascenseur À Lafayette, Tunis",Appartement,vente,,,2600.0,47.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,140.0,2.0,1.0,220000.0,,1.0,,,,,,,,,,"Er Étage Situé Dans Une Résidence D'El Passage, Tunis",Appartement,vente,,,1571.4285714285713,70.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,120.0,2.0,,350000.0,,1.0,,,,,,,,,,"Éme Étage Situé Dans Un Immeuble À Centre Ville, Tunis",Appartement,vente,,,2916.6666666666665,60.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,139.0,2.0,,210000.0,,1.0,,,,,,,,,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,1510.7913669064749,69.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,500.0,2.0,1.0,350000.0,,1.0,1.0,1.0,,,,,1.0,,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,700.0,250.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,120.0,4.0,,365000.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,3041.6666666666665,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,85.0,4.0,0.0,630000.0,,,1.0,1.0,1.0,,1.0,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,7411.764705882353,21.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,42.0,3.0,0.0,120000.0,,,,1.0,,,,,,,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2857.1428571428573,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,70.0,2.0,0.0,320000.0,1.0,,1.0,1.0,,,,1.0,,,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,4571.428571428572,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,90.0,3.0,2.0,220000.0,,,1.0,1.0,,,,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2444.4444444444443,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,100.0,2.0,,195000.0,,,1.0,1.0,,,,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,1950.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,42.0,2.0,,130000.0,1.0,,,,1.0,,,1.0,,,,"Fares El Khouri, Tunis",Appartement,vente,36.7978618,10.1881739,3095.2380952380954,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,160.0,3.0,1.0,380000.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2375.0,53.333333333333336,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
