,surface,pieces,etage,prix,has_ascenseur,has_balcon,has_chaffage,has_climatisation,has_garage,has_gardien,has_jardin,has_parking,has_piscine,has_terrasse,gouvernerat,ville,type,contrat,latitude,longitude,price_per_m2,surface_per_piece,etage_x_ascenseur,nlp_transaction_negociable,nlp_transaction_urgent,nlp_transaction_first_owner_or_new_mentioned,nlp_transaction_developer_or_promoter_mentioned,nlp_transaction_legal_title_or_status_mentioned,nlp_transaction_legal_title_hint,nlp_property_subtype,nlp_property_furnished,nlp_property_semi_furnished,nlp_property_condition,nlp_property_orientation_mentioned,nlp_property_duplex_penthouse_garden_level_mentioned,nlp_comfort_air_conditioning,nlp_comfort_heating_mentioned,nlp_comfort_double_glazing_mentioned,nlp_comfort_finishing_quality_hint,nlp_location_neighborhood_or_zone,nlp_location_proximity_count,nlp_location_proximity_str,nlp_location_nuisance_or_negative_mentioned,nlp_usage_primary_residence_likely,nlp_usage_investment_likely,nlp_usage_furnished_rental_likely,nlp_standing_luxury_level,nlp_standing_features_count,nlp_standing_features_str,nlp_signals_listing_too_vague,nlp_signals_incoherence_price_vs_surface_hint,nlp_signals_spam_or_low_quality_hint,nlp_signals_extraction_confidence,vis_pool_likely_mean,vis_pool_likely_max,vis_garden_likely_mean,vis_garden_likely_max,vis_sea_view_likely_mean,vis_sea_view_likely_max,vis_furnished_likely_mean,vis_furnished_likely_max,vis_modern_renovation_likely_mean,vis_modern_renovation_likely_max,vis_luxury_visual_score_mean,vis_luxury_visual_score_max,vis_n_images,bge_pca_0,bge_pca_1,bge_pca_2,bge_pca_3,bge_pca_4,bge_pca_5,bge_pca_6,bge_pca_7,bge_pca_8,bge_pca_9,bge_pca_10,bge_pca_11,bge_pca_12,bge_pca_13,bge_pca_14,bge_pca_15,bge_pca_16,bge_pca_17,bge_pca_18,bge_pca_19,bge_pca_20,bge_pca_21,bge_pca_22,bge_pca_23,bge_pca_24,bge_pca_25,bge_pca_26,bge_pca_27,bge_pca_28,bge_pca_29,bge_pca_30,bge_pca_31
12,120.0,2.0,,360000.0,,,1.0,1.0,,,1.0,1.0,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,3000.0,60.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,186.0,2.0,,690000.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,3709.6774193548385,93.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,110.0,4.0,0.0,590000.0,,,1.0,,,,,,,,Ben Arous,Ben Arous,Appartement,vente,36.7516855,10.2245072,5363.636363636364,27.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,90.0,2.0,0.0,250000.0,,,,1.0,1.0,,1.0,1.0,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2777.777777777778,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,195.0,3.0,0.0,550000.0,,,,,,,,,,,Ben Arous,Ben Arous,Appartement,vente,36.7516855,10.2245072,2820.5128205128203,65.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,186.0,2.0,,690000.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,3709.6774193548385,93.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129902335,-0.25851405,-0.113453194,-0.08824915,-0.15097143,0.18603685,-0.07729946,0.098531954,-0.07626734,0.008127677,0.0002774774,-0.02258305,-0.07002491,0.05438057,-0.0011400647,-0.0649206,-0.07006522,0.037066434,0.0077283336,0.028423283,-0.043750018,-0.012432341,0.03469158,0.0139710605,-0.12601604,0.033185747,0.029182673,-0.0036858541,-0.0148945525,-0.032038663,-0.07104829,0.010444862
18,255.0,2.0,0.0,690000.0,,,1.0,,,,1.0,,1.0,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2705.8823529411766,127.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,85.0,4.0,3.0,130000.0,,1.0,,,,,,,,,Ben Arous,Ben Arous,Appartement,vente,36.7516855,10.2245072,1529.4117647058824,21.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,75.0,3.0,1.0,120000.0,,1.0,,,,,,,,,Ben Arous,Ben Arous,Appartement,vente,36.7516855,10.2245072,1600.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,2.0,0.0,365000.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,Ariana,Ariana,Appartement,vente,36.8587351,10.188232,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
