,surface,pieces,etage,has_ascenseur,has_balcon,has_chaffage,has_climatisation,has_gardien,has_jardin,has_parking,has_piscine,has_terrasse,latitude,longitude,price_per_m2,surface_per_piece,etage_x_ascenseur,type,contrat,gouvernerat
2892,120.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,1250.0,40.0,0.0,285532.6189391474,285532.6189391474,277143.4970760234
978,56.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8599292,10.1531585,3392.839285714286,28.0,0.0,285532.6189391474,285532.6189391474,320375.0034842321
108,145.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8002068,10.1857757,3689.655172413793,72.5,0.0,285532.6189391474,285532.6189391474,293441.4203821656
4055,173.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,3757.225433526012,43.25,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1740,85.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8456561,11.0935701,2176.470588235294,28.333333333333332,0.0,285532.6189391474,285532.6189391474,300305.12820512813
3691,107.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,277143.4970760234
3059,156.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.7643,10.8113,2756.4102564102564,52.0,0.0,285532.6189391474,285532.6189391474,309845.8833033952
4007,107.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,277143.4970760234
543,140.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2857.1428571428573,28.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1625,131.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.719825,10.2192362,2458.0152671755727,32.75,0.0,285532.6189391474,285532.6189391474,218196.17024373435
2444,80.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4077838,10.6169649,4375.0,26.666666666666668,0.0,285532.6189391474,285532.6189391474,277143.4970760234
1944,124.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8054,10.0919,2983.8709677419356,31.0,1.0,285532.6189391474,285532.6189391474,293441.4203821656
259,75.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8288284,10.6405254,2933.3333333333335,37.5,0.0,285532.6189391474,285532.6189391474,281505.570214618
811,67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8479251,10.2611996,3731.3432835820895,67.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2061,160.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.79980174113605,10.18522155644635,1825.0,40.0,4.0,285532.6189391474,285532.6189391474,293441.4203821656
1721,80.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.764815,10.2880423,2312.5,40.0,0.0,285532.6189391474,285532.6189391474,218196.17024373435
612,85.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.719825,10.2192362,1764.7058823529412,42.5,0.0,285532.6189391474,285532.6189391474,218196.17024373435
1221,54.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8479251,10.2611996,3333.3333333333335,27.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2212,75.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8927,10.5976,6000.0,37.5,0.0,285532.6189391474,285532.6189391474,281505.570214618
1001,116.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.7575659,10.244981,2413.793103448276,58.0,0.0,285532.6189391474,285532.6189391474,218196.17024373435
