__idx__,vis_pool_likely_mean,vis_pool_likely_max,vis_garden_likely_mean,vis_garden_likely_max,vis_sea_view_likely_mean,vis_sea_view_likely_max,vis_furnished_likely_mean,vis_furnished_likely_max,vis_modern_renovation_likely_mean,vis_modern_renovation_likely_max,vis_luxury_visual_score_mean,vis_luxury_visual_score_max,vis_n_images
2418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
