iter	Passed	Remaining
399	137003	58911
400	137177	58496
401	137410	58108
402	137630	57716
403	137886	57338
404	138114	56950
405	138356	56569
406	138652	56210
407	138871	55820
408	139107	55438
409	139354	55061
410	139710	54728
411	139974	54358
412	140179	53967
413	140379	53574
414	140627	53201
415	140853	52820
416	141086	52442
417	141313	52062
418	141668	51730
419	142012	51394
420	142325	51047
421	142691	50719
422	143022	50379
423	143291	50016
424	143704	49704
425	144044	49367
426	144336	49013
427	144596	48649
428	144822	48274
429	145073	47907
430	145299	47534
431	145630	47195
432	145866	46825
433	146242	46501
434	146527	46147
435	146878	45815
436	147109	45445
437	147349	45079
438	147632	44726
439	147852	44355
440	148121	43999
441	148316	43622
442	148549	43257
443	148805	42898
444	149044	42536
445	149283	42174
446	149768	41881
447	150090	41542
448	150423	41207
449	150648	40842
450	151084	40534
451	151425	40201
452	151675	39844
453	151985	39502
454	152241	39147
455	152583	38815
456	152892	38473
457	153165	38124
458	153422	37770
459	153691	37420
460	153947	37067
461	154217	36718
462	154481	36368
463	154728	36014
464	154982	35662
465	155212	35305
466	155451	34951
467	155736	34608
468	155956	34250
469	156221	33903
470	156483	33555
471	156724	33204
472	156957	32851
473	157218	32505
474	157491	32161
475	157747	31814
476	158043	31476
477	158351	31140
478	158598	30792
479	158836	30443
480	159076	30095
481	159367	29757
482	159642	29416
483	159904	29073
484	160149	28727
485	160382	28380
486	160639	28037
487	160926	27700
488	161189	27359
489	161380	27006
490	161625	26663
491	161872	26320
492	162109	25976
493	162362	25636
494	162627	25297
495	162853	24953
496	163112	24614
497	163341	24271
498	163588	23931
499	163882	23599
500	164144	23261
501	164379	22921
502	164624	22582
503	164878	22245
504	165112	21906
505	165380	21571
506	165653	21237
507	165921	20903
508	166167	20566
509	166444	20234
510	166738	19904
511	167006	19571
512	167244	19234
513	167518	18902
514	167764	18568
515	167998	18232
516	168242	17898
517	168496	17565
518	168688	17226
519	168893	16889
520	169181	16560
521	169397	16225
522	169574	15887
523	169751	15549
524	169935	15213
525	170122	14877
526	170291	14540
527	170456	14204
528	170668	13872
529	170849	13538
530	171054	13207
531	171277	12877
532	171431	12543
533	171580	12209
534	171739	11877
535	171889	11544
536	172033	11212
537	172182	10881
538	172331	10550
539	172485	10221
540	172636	9892
541	172814	9565
542	172961	9237
543	173105	8909
544	173257	8583
545	173395	8256
546	173542	7931
547	173694	7607
548	173847	7283
549	173998	6959
550	174155	6637
551	174308	6315
552	174470	5994
553	174629	5673
554	174784	5353
555	174948	5034
556	175093	4715
557	175252	4397
558	175416	4079
559	175578	3762
560	175719	3445
